Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
2.145202637,-11.28147888,0.682342529,0.827116966,-1.533709526,1.540039778,1.309121251,-9.681473732,-0.85186404,1.630950928,0.393981934,-0.484710693,-20.05615234,37.34283447,5.065917969,22:12:20:696,0.020019531
1.635238647,-10.67814636,0.268157959,0.207612276,-0.917942047,0.798252702,1.41727221,-9.689415932,-0.526250124,1.67036438,-0.071533203,-0.560348511,-19.30389404,38.16986084,3.555297852,22:12:20:716,0.019989014
1.716644287,-9.447525024,0.24899292,-0.011116743,0.277272224,0.177445471,1.715394855,-9.655193329,0.071035348,1.629882813,-0.929077148,-0.838378906,-19.49005127,37.57781982,1.57623291,22:12:20:756,0.020019531
1.884231567,-10.06761169,0.869094849,-0.001245379,-0.375749588,0.532690167,1.871613503,-9.620599747,0.333931118,1.545730591,-1.045181274,-0.79045105,-21.83227539,34.10339355,0.480651855,22:12:20:776,0.019989013
2.044647217,-10.85771179,0.620101929,-0.096980572,-1.232928276,-0.176496029,2.12308526,-9.5414505,0.789700866,1.291137695,-0.753311157,-0.590179443,-21.21582031,36.49902344,-0.921630859,22:12:20:817,0.019989014
1.501159668,-10.19689941,0.33039856,-0.777279854,-0.619774818,-0.659685671,2.258305073,-9.492492676,0.981334984,1.187805176,-0.711761475,-0.665802002,-24.24163818,36.10229492,-0.596618652,22:12:20:837,0.020019531
1.513137817,-10.08198547,0.17477417,-0.921928167,-0.561048508,-0.98054719,2.413305044,-9.435853004,1.144996762,1.075958252,-0.746917725,-0.760620117,-23.34289551,33.92028809,-2.180480957,22:12:20:876,0.020019531
1.831558228,-10.21606445,0.337585449,-0.937585115,-0.813754082,-1.053763986,2.74306798,-9.313775063,1.378247976,0.833068848,-0.917358398,-0.768066406,-24.84283447,33.87298584,-3.16619873,22:12:20:893,0.019989014
1.793258667,-9.792282104,0.421386719,-1.132718086,-0.449707031,-1.046881676,2.898522139,-9.25491333,1.454491496,0.710571289,-0.893920898,-0.730789185,-24.269104,32.64770508,-2.80456543,22:12:20:915,0.019989013
1.635238647,-9.785095215,0.241821289,-1.435566425,-0.498701096,-1.280172348,3.042262077,-9.200078011,1.507846713,0.600845337,-0.863021851,-0.676467896,-26.90734863,33.59680176,-2.18963623,22:12:20:937,0.019989013
